Model,MSO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,3.2e-05,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.51350e+00,2.4,2.24,0.04,-0.04
-1.51347e+00,2.4,2.48,0.04,0.2
-1.51344e+00,2.32,1.92,0.04,-0.36
-1.51341e+00,2.4,2.64,0.04,0.28
-1.51338e+00,2.32,2.24,0.12,-0.04
-1.51334e+00,2.32,2.48,0.04,0.2
-1.51331e+00,2.32,2.24,0.04,-0.04
-1.51328e+00,2.32,2.48,0.04,0.2
-1.51325e+00,2.32,1.84,0.04,-0.36
-1.51322e+00,2.4,2.56,0.04,0.36
-1.51318e+00,2.4,2.24,0.04,-0.04
-1.51315e+00,2.32,2.48,0.04,0.2
-1.51312e+00,2.32,2.32,0.04,-0.04
-1.51309e+00,2.32,2.48,0.04,0.2
-1.51306e+00,2.32,1.92,0.04,-0.28
-1.51302e+00,2.32,2.56,0.04,0.28
-1.51299e+00,2.4,2.24,0.04,-0.04
-1.51296e+00,2.4,2.48,0.04,0.2
-1.51293e+00,2.4,2,0.04,-0.28
-1.51290e+00,2.4,2.56,0.04,0.28
-1.51286e+00,2.32,2.24,0.04,-0.04
-1.51283e+00,2.32,2.48,0.04,0.2
-1.51280e+00,2.32,2.24,0.04,-0.04
-1.51277e+00,2.32,2.48,0.04,0.2
-1.51274e+00,2.4,1.92,0.04,-0.28
-1.51270e+00,2.4,2.56,0.04,0.28
-1.51267e+00,2.4,2.24,0.04,-0.04
-1.51264e+00,2.4,2.48,0.04,0.2
-1.51261e+00,2.32,2.24,0.04,-0.04
-1.51258e+00,2.32,2.48,0.04,0.2
-1.51254e+00,2.32,1.92,0.04,-0.36
-1.51251e+00,2.4,2.56,0.04,0.28
-1.51248e+00,2.4,2.24,0.04,-0.04
-1.51245e+00,2.4,2.48,0.04,0.2
-1.51242e+00,2.32,2.24,0.04,-0.04
-1.51238e+00,2.32,2.48,0.04,0.2
-1.51235e+00,2.32,1.92,0.04,-0.36
-1.51232e+00,2.32,2.64,0.04,0.28
-1.51229e+00,2.32,2.24,0.04,-0.04
-1.51226e+00,2.32,2.48,0.04,0.2
-1.51222e+00,2.32,1.92,0.04,-0.28
-1.51219e+00,2.4,2.56,0.04,0.28
-1.51216e+00,2.4,2.24,0.04,-0.04
-1.51213e+00,2.32,2.48,0.12,0.2
-1.51210e+00,2.32,2.24,0.04,-0.04
-1.51206e+00,2.4,2.48,0.12,0.2
-1.51203e+00,2.32,1.92,0.04,-0.28
-1.51200e+00,2.32,2.56,0.04,0.28
-1.51197e+00,2.4,2.24,0.04,-0.04
-1.51194e+00,2.4,2.48,0.04,0.2
-1.51190e+00,2.32,2.24,0.04,-0.04
-1.51187e+00,2.32,2.48,0.04,0.2
-1.51184e+00,2.32,1.92,0.04,-0.28
-1.51181e+00,2.32,2.64,0.04,0.28
-1.51178e+00,2.32,2.24,0.04,-0.04
-1.51174e+00,2.32,2.48,0.04,0.2
-1.51171e+00,2.4,2.24,0.04,-0.04
-1.51168e+00,2.32,2.48,0.04,0.2
-1.51165e+00,2.4,1.92,0.04,-0.36
-1.51162e+00,2.32,2.56,0.04,0.36
-1.51158e+00,2.32,2.24,0.04,-0.04
-1.51155e+00,2.32,2.48,0.04,0.2
-1.51152e+00,2.32,1.84,0.12,-0.36
-1.51149e+00,2.32,2.56,0.04,0.36
-1.51146e+00,2.32,2.24,0.04,-0.04
-1.51142e+00,2.4,2.48,0.04,0.2
-1.51139e+00,2.32,2.24,0.04,-0.04
-1.51136e+00,2.32,2.48,0.04,0.2
-1.51133e+00,2.32,1.92,0.04,-0.28
-1.51130e+00,2.32,2.56,0.04,0.28
-1.51126e+00,2.32,2.24,0.04,-0.04
-1.51123e+00,2.32,2.48,0.04,0.2
-1.51120e+00,2.4,2.24,0.04,-0.04
-1.51117e+00,2.4,2.48,0.04,0.2
-1.51114e+00,2.32,1.92,0.04,-0.28
-1.51110e+00,2.4,2.56,0.04,0.28
-1.51107e+00,2.32,2.24,0.04,-0.04
-1.51104e+00,2.32,2.48,0.04,0.2
-1.51101e+00,2.32,2.24,0.04,-0.04
-1.51098e+00,2.32,2.48,0.04,0.2
-1.51094e+00,2.32,1.92,0.12,-0.28
-1.51091e+00,2.4,2.56,0.04,0.28
-1.51088e+00,2.32,2.24,0.04,-0.04
-1.51085e+00,2.32,2.48,0.04,0.2
-1.51082e+00,2.32,1.92,0.04,-0.36
-1.51078e+00,2.32,2.64,0.04,0.28
-1.51075e+00,2.32,2.24,0.04,-0.04
-1.51072e+00,2.32,2.4,0.04,0.2
-1.51069e+00,2.4,2.16,0.04,-0.04
-1.51066e+00,2.4,2.48,0.04,0.2
-1.51062e+00,2.32,1.92,0.04,-0.36
-1.51059e+00,2.32,2.64,0.04,0.28
-1.51056e+00,2.32,2.24,0.04,-0.04
-1.51053e+00,2.32,2.48,0.12,0.2
-1.51050e+00,2.32,2.24,0.12,-0.04
-1.51046e+00,2.32,2.48,0.12,0.2
-1.51043e+00,2.32,1.84,0.04,-0.28
-1.51040e+00,2.32,2.56,0.04,0.36
-1.51037e+00,2.32,2.24,0.04,-0.04
-1.51034e+00,2.32,2.48,0.04,0.2
-1.51030e+00,2.4,2.24,0.04,-0.04
-1.51027e+00,2.24,2.48,0.04,0.2
-1.51024e+00,2.32,1.92,0.12,-0.28
-1.51021e+00,2.32,2.56,0.04,0.28
-1.51018e+00,2.32,2.24,0.04,-0.04
-1.51014e+00,2.4,2.4,-0.04,0.2
-1.51011e+00,2.4,1.92,0.04,-0.28
-1.51008e+00,2.32,2.56,0.04,0.28
-1.51005e+00,2.4,2.24,0.04,-0.04
-1.51002e+00,2.32,2.48,0.12,0.2
-1.50998e+00,2.32,2.24,0.12,-0.04
-1.50995e+00,2.32,2.4,0.12,0.2
-1.50992e+00,2.32,1.84,0.04,-0.36
-1.50989e+00,2.4,2.56,0.04,0.36
-1.50986e+00,2.32,2.24,0.04,-0.04
-1.50982e+00,2.32,2.48,0.04,0.2
-1.50979e+00,2.32,2.24,0.04,-0.04
-1.50976e+00,2.32,2.48,0.12,0.2
-1.50973e+00,2.32,1.92,0.12,-0.36
-1.50970e+00,2.32,2.56,0.04,0.36
-1.50966e+00,2.32,2.24,0.04,-0.04
-1.50963e+00,2.4,2.48,0.04,0.2
-1.50960e+00,2.32,2.24,0.04,-0.04
-1.50957e+00,2.32,2.48,0.04,0.2
-1.50954e+00,2.32,1.92,0.04,-0.28
-1.50950e+00,2.32,2.56,0.04,0.28
-1.50947e+00,2.32,2.24,0.04,-0.04
-1.50944e+00,2.32,2.4,0.04,0.2
-1.50941e+00,2.4,1.92,0.04,-0.28
-1.50938e+00,2.32,2.56,0.04,0.28
-1.50934e+00,2.4,2.24,0.04,-0.04
-1.50931e+00,2.4,2.48,0.04,0.2
-1.50928e+00,2.32,2.24,0.04,-0.04
-1.50925e+00,2.32,2.48,0.04,0.2
-1.50922e+00,2.32,1.92,0.12,-0.28
-1.50918e+00,2.32,2.56,0.04,0.28
-1.50915e+00,2.4,2.16,0.04,-0.04
-1.50912e+00,2.32,2.48,0.04,0.2
-1.50909e+00,2.4,2.24,0.04,-0.04
-1.50906e+00,2.32,2.48,0.04,0.2
-1.50902e+00,2.32,1.92,0.04,-0.36
-1.50899e+00,2.32,2.64,0.12,0.28
-1.50896e+00,2.32,2.24,0.04,-0.04
-1.50893e+00,2.32,2.4,0.04,0.2
-1.50890e+00,2.4,2.24,0.04,-0.04
-1.50886e+00,2.4,2.48,0.04,0.2
-1.50883e+00,2.4,1.92,0.04,-0.36
-1.50880e+00,2.32,2.56,0.12,0.36
-1.50877e+00,2.32,2.24,0.04,-0.04
-1.50874e+00,2.4,2.48,0.12,0.2
-1.50870e+00,2.32,1.92,0.04,-0.28
-1.50867e+00,2.4,2.48,0.04,0.28
-1.50864e+00,2.32,2.16,0.04,-0.04
-1.50861e+00,2.32,2.48,0.04,0.2
-1.50858e+00,2.4,2.24,0.04,-0.04
-1.50854e+00,2.32,2.48,0.04,0.2
-1.50851e+00,2.32,1.92,0.04,-0.28
-1.50848e+00,2.32,2.56,0.12,0.28
-1.50845e+00,2.32,2.24,0.12,-0.04
-1.50842e+00,2.32,2.4,0.04,0.2
-1.50838e+00,2.4,2.24,0.04,-0.04
-1.50835e+00,2.4,2.4,0.04,0.2
-1.50832e+00,2.32,1.92,0.04,-0.28
-1.50829e+00,2.32,2.56,0.12,0.28
-1.50826e+00,2.32,2.24,0.04,-0.04
-1.50822e+00,2.32,2.48,0.04,0.2
-1.50819e+00,2.32,2.24,0.04,-0.04
-1.50816e+00,2.32,2.4,0.04,0.2
-1.50813e+00,2.32,1.84,0.04,-0.36
-1.50810e+00,2.4,2.56,0.04,0.36
-1.50806e+00,2.32,2.24,0.04,-0.04
-1.50803e+00,2.4,2.48,0.12,0.2
-1.50800e+00,2.32,1.84,0.04,-0.36
-1.50797e+00,2.32,2.56,0.04,0.28
-1.50794e+00,2.32,2.24,0.12,-0.04
-1.50790e+00,2.32,2.48,0.04,0.2
-1.50787e+00,2.4,2.24,0.12,-0.04
-1.50784e+00,2.32,2.4,0.04,0.2
-1.50781e+00,2.32,1.92,0.04,-0.28
-1.50778e+00,2.32,2.56,0.12,0.28
-1.50774e+00,2.32,2.24,0.12,-0.04
-1.50771e+00,2.32,2.4,0.04,0.2
-1.50768e+00,2.32,2.16,0.04,-0.04
-1.50765e+00,2.32,2.4,0.04,0.2
-1.50762e+00,2.32,1.92,0.04,-0.28
-1.50758e+00,2.32,2.56,0.04,0.28
-1.50755e+00,2.32,2.24,0.04,-0.04
-1.50752e+00,2.32,2.48,0.12,0.2
-1.50749e+00,2.32,2.24,0.04,-0.04
-1.50746e+00,2.32,2.48,0.12,0.2
-1.50742e+00,2.32,1.92,0.04,-0.28
-1.50739e+00,2.32,2.56,0.12,0.28
-1.50736e+00,2.32,2.24,0.04,-0.04
-1.50733e+00,2.32,2.4,0.04,0.2
-1.50730e+00,2.32,2.24,0.12,-0.04
-1.50726e+00,2.32,2.48,0.04,0.2
-1.50723e+00,2.32,1.92,0.04,-0.36
-1.50720e+00,2.32,2.64,0.04,0.28
-1.50717e+00,2.32,2.16,0.04,-0.04
-1.50714e+00,2.32,2.4,0.04,0.2
-1.50710e+00,2.32,1.92,0.04,-0.36
-1.50707e+00,2.4,2.56,0.12,0.28
-1.50704e+00,2.4,2.24,0.04,-0.04
-1.50701e+00,2.32,2.48,0.12,0.2
-1.50698e+00,2.24,2.24,0.04,-0.04
-1.50694e+00,2.32,2.48,0.04,0.2
-1.50691e+00,2.32,1.84,0.12,-0.36
-1.50688e+00,2.32,2.56,0.04,0.36
-1.50685e+00,2.4,2.24,0.04,-0.04
-1.50682e+00,2.32,2.48,0.04,0.2
-1.50678e+00,2.32,2.24,0.04,-0.04
-1.50675e+00,2.32,2.48,0.04,0.2
-1.50672e+00,2.32,1.92,0.04,-0.28
-1.50669e+00,2.32,2.56,0.12,0.28
-1.50666e+00,2.32,2.16,0.12,-0.04
-1.50662e+00,2.32,2.48,0.04,0.2
-1.50659e+00,2.32,2.24,0.04,-0.04
-1.50656e+00,2.32,2.4,0.04,0.2
-1.50653e+00,2.32,1.92,0.04,-0.28
-1.50650e+00,2.32,2.56,0.12,0.28
-1.50646e+00,2.32,2.24,0.04,-0.04
-1.50643e+00,2.32,2.48,0.04,0.2
-1.50640e+00,2.32,1.84,0.04,-0.36
-1.50637e+00,2.32,2.48,0.04,0.36
-1.50634e+00,2.32,2.24,0.04,-0.04
-1.50630e+00,2.32,2.4,0.04,0.2
-1.50627e+00,2.4,2.24,0.04,-0.04
-1.50624e+00,2.32,2.48,0.04,0.2
-1.50621e+00,2.32,1.92,0.04,-0.36
-1.50618e+00,2.32,2.56,0.04,0.36
-1.50614e+00,2.32,2.24,0.04,-0.04
-1.50611e+00,2.32,2.4,0.04,0.2
-1.50608e+00,2.32,2.24,0.04,-0.04
-1.50605e+00,2.32,2.4,0.04,0.2
-1.50602e+00,2.32,1.92,0.04,-0.2
-1.50598e+00,2.32,2.56,0.04,0.28
-1.50595e+00,2.32,2.24,0.12,-0.04
-1.50592e+00,2.32,2.4,0.12,0.2
-1.50589e+00,2.32,2.16,0.04,-0.04
-1.50586e+00,2.32,2.48,0.12,0.2
-1.50582e+00,2.4,1.84,0.12,-0.28
-1.50579e+00,2.4,2.48,0.04,0.36
-1.50576e+00,2.32,2.24,0.04,-0.04
-1.50573e+00,2.32,2.48,0.04,0.2
-1.50570e+00,2.24,1.92,0.04,-0.28
-1.50566e+00,2.32,2.48,0.12,0.28
-1.50563e+00,2.32,2.24,0.12,-0.04
-1.50560e+00,2.32,2.48,0.04,0.2
-1.50557e+00,2.32,2.24,0.04,-0.04
-1.50554e+00,2.32,2.4,0.04,0.2
-1.50550e+00,2.32,1.92,0.04,-0.36
-1.50547e+00,2.32,2.64,0.04,0.36
-1.50544e+00,2.32,2.24,0.04,-0.04
-1.50541e+00,2.24,2.4,0.04,0.2
-1.50538e+00,2.32,2.24,0.12,-0.04
-1.50534e+00,2.32,2.4,0.04,0.2
-1.50531e+00,2.32,1.84,0.04,-0.36
-1.50528e+00,2.32,2.56,0.04,0.36
-1.50525e+00,2.32,2.24,0.12,-0.04
-1.50522e+00,2.32,2.48,0.04,0.2
-1.50518e+00,2.24,2.24,0.12,-0.04
-1.50515e+00,2.32,2.4,0.04,0.2
-1.50512e+00,2.24,1.92,0.04,-0.28
-1.50509e+00,2.32,2.56,0.04,0.28
-1.50506e+00,2.4,2.24,0.12,-0.04
-1.50502e+00,2.32,2.4,0.04,0.2
-1.50499e+00,2.32,1.92,0.12,-0.28
-1.50496e+00,2.32,2.56,0.04,0.28
-1.50493e+00,2.32,2.24,0.04,-0.04
-1.50490e+00,2.32,2.4,0.04,0.2
-1.50486e+00,2.32,2.24,0.04,-0.04
-1.50483e+00,2.32,2.48,0.04,0.2
-1.50480e+00,2.32,1.92,0.04,-0.28
-1.50477e+00,2.32,2.56,0.04,0.36
-1.50474e+00,2.32,2.24,0.04,-0.04
-1.50470e+00,2.32,2.48,0.12,0.2
-1.50467e+00,2.24,2.24,0.04,-0.04
-1.50464e+00,2.32,2.4,0.04,0.2
-1.50461e+00,2.32,1.84,0.04,-0.36
-1.50458e+00,2.32,2.56,0.04,0.36
-1.50454e+00,2.4,2.24,0.04,-0.04
-1.50451e+00,2.32,2.4,0.04,0.2
-1.50448e+00,2.32,2.24,0.04,-0.04
-1.50445e+00,2.32,2.48,0.04,0.2
-1.50442e+00,2.32,1.84,0.04,-0.36
-1.50438e+00,2.32,2.64,0.12,0.28
-1.50435e+00,2.32,2.24,0.12,-0.04
-1.50432e+00,2.32,2.4,0.04,0.2
-1.50429e+00,2.32,1.84,0.04,-0.28
-1.50426e+00,2.32,2.56,0.04,0.36
-1.50422e+00,2.32,2.24,0.12,-0.04
-1.50419e+00,2.32,2.4,0.04,0.2
-1.50416e+00,2.24,2.24,0.12,-0.04
-1.50413e+00,2.32,2.4,0.04,0.2
-1.50410e+00,2.32,1.84,0.12,-0.28
-1.50406e+00,2.32,2.48,0.04,0.36
-1.50403e+00,2.32,2.24,0.04,-0.04
-1.50400e+00,2.32,2.4,0.04,0.2
-1.50397e+00,2.32,2.24,0.04,-0.04
-1.50394e+00,2.32,2.48,0.04,0.2
-1.50390e+00,2.32,1.92,0.04,-0.28
-1.50387e+00,2.32,2.56,0.04,0.28
-1.50384e+00,2.32,2.16,0.12,-0.04
-1.50381e+00,2.32,2.4,0.04,0.2
-1.50378e+00,2.32,2.24,0.04,-0.04
-1.50374e+00,2.32,2.4,0.04,0.2
-1.50371e+00,2.32,1.84,0.04,-0.36
-1.50368e+00,2.32,2.64,0.04,0.28
-1.50365e+00,2.24,2.24,0.12,-0.04
-1.50362e+00,2.08,2.4,-0.04,0.2
-1.50358e+00,2.32,1.84,0.12,-0.36
-1.50355e+00,2.32,2.56,0.12,0.36
-1.50352e+00,2.32,2.08,0.04,-0.04
-1.50349e+00,2.32,2.4,0.04,0.28
-1.50346e+00,2.32,2.24,0.04,-0.04
-1.50342e+00,2.24,2.4,0.04,0.2
-1.50339e+00,2.32,1.84,0.04,-0.36
-1.50336e+00,2.32,2.56,0.04,0.36
-1.50333e+00,2.24,2.16,0.12,-0.04
-1.50330e+00,2.32,2.4,0.12,0.2
-1.50326e+00,2.32,2.16,0.12,-0.04
-1.50323e+00,2.32,2.4,0.04,0.2
-1.50320e+00,2.32,1.92,0.04,-0.28
-1.50317e+00,2.32,2.56,0.12,0.28
-1.50314e+00,2.32,2.24,0.04,-0.04
-1.50310e+00,2.32,2.4,0.12,0.2
-1.50307e+00,2.24,2.16,0.04,-0.04
-1.50304e+00,2.32,2.48,0.04,0.2
-1.50301e+00,2.32,1.84,0.04,-0.28
-1.50298e+00,2.32,2.56,0.04,0.28
-1.50294e+00,2.32,2.24,0.04,-0.04
-1.50291e+00,2.32,2.48,0.04,0.2
-1.50288e+00,2.24,2.24,0.04,-0.04
-1.50285e+00,2.32,2.4,0.04,0.2
-1.50282e+00,2.32,1.84,0.12,-0.36
-1.50278e+00,2.32,2.56,0.04,0.28
-1.50275e+00,2.32,2.24,0.04,-0.04
-1.50272e+00,2.32,2.4,0.04,0.2
-1.50269e+00,2.32,1.84,0.12,-0.36
-1.50266e+00,2.32,2.56,0.04,0.28
-1.50262e+00,2.24,2.24,0.04,-0.04
-1.50259e+00,2.32,2.4,0.12,0.2
-1.50256e+00,2.32,2.16,0.12,-0.04
-1.50253e+00,2.32,2.4,0.04,0.2
-1.50250e+00,2.32,1.92,0.04,-0.2
-1.50246e+00,2.32,2.56,0.04,0.36
-1.50243e+00,2.32,2.24,0.04,-0.04
-1.50240e+00,2.24,2.4,0.04,0.2
-1.50237e+00,2.24,2.24,0.04,-0.04
-1.50234e+00,2.24,2.4,0.04,0.2
-1.50230e+00,2.32,1.84,0.04,-0.2
-1.50227e+00,2.32,2.48,0.12,0.28
-1.50224e+00,2.4,2.24,0.04,-0.04
-1.50221e+00,2.32,2.4,0.04,0.2
-1.50218e+00,2.32,2.24,0.04,-0.04
-1.50214e+00,2.32,2.48,0.12,0.2
-1.50211e+00,2.24,1.92,0.12,-0.28
-1.50208e+00,2.32,2.56,0.04,0.28
-1.50205e+00,2.32,2.16,0.04,-0.04
-1.50202e+00,2.32,2.48,0.04,0.2
-1.50198e+00,2.32,1.84,0.04,-0.36
-1.50195e+00,2.32,2.56,0.04,0.36
-1.50192e+00,2.32,2.24,0.04,-0.04
-1.50189e+00,2.32,2.4,0.04,0.2
-1.50186e+00,2.24,2.24,0.04,-0.04
-1.50182e+00,2.32,2.4,0.12,0.2
-1.50179e+00,2.32,1.76,0.12,-0.36
-1.50176e+00,2.32,2.48,0.04,0.36
-1.50173e+00,2.32,2.24,0.04,-0.04
-1.50170e+00,2.24,2.4,0.04,0.2
-1.50166e+00,2.32,2.24,0.12,-0.04
-1.50163e+00,2.32,2.4,0.04,0.2
-1.50160e+00,2.24,1.84,0.12,-0.28
-1.50157e+00,2.24,2.48,0.12,0.28
-1.50154e+00,2.32,2.16,0.04,-0.04
-1.50150e+00,2.32,2.4,0.04,0.2
-1.50147e+00,2.32,2.24,0.04,-0.04
-1.50144e+00,2.32,2.4,0.04,0.2
-1.50141e+00,2.32,1.92,0.12,-0.28
-1.50138e+00,2.32,2.48,0.12,0.28
-1.50134e+00,2.24,2.16,0.12,-0.04
-1.50131e+00,2.32,2.4,0.04,0.2
-1.50128e+00,2.24,1.84,0.12,-0.28
-1.50125e+00,2.32,2.56,0.12,0.28
-1.50122e+00,2.32,2.16,0.12,-0.04
-1.50118e+00,2.32,2.4,0.04,0.2
-1.50115e+00,2.32,2.24,0.12,-0.04
-1.50112e+00,2.24,2.4,0.04,0.2
-1.50109e+00,2.24,1.84,0.12,-0.36
-1.50106e+00,2.24,2.56,0.12,0.36
-1.50102e+00,2.32,2.16,0.04,-0.04
-1.50099e+00,2.32,2.4,0.12,0.2
-1.50096e+00,2.32,2.24,0.04,-0.04
-1.50093e+00,2.32,2.4,0.04,0.2
-1.50090e+00,2.32,1.84,0.12,-0.36
-1.50086e+00,2.32,2.56,0.12,0.36
-1.50083e+00,2.32,2.16,0.12,-0.04
-1.50080e+00,2.32,2.4,0.12,0.2
-1.50077e+00,2.24,2.16,0.04,-0.04
-1.50074e+00,2.32,2.4,0.04,0.2
-1.50070e+00,2.32,1.92,0.04,-0.28
-1.50067e+00,2.32,2.56,0.04,0.36
-1.50064e+00,2.32,2.24,0.12,-0.04
-1.50061e+00,2.24,2.4,0.04,0.2
-1.50058e+00,2.24,1.92,0.12,-0.28
-1.50054e+00,2.32,2.48,0.12,0.36
-1.50051e+00,2.32,2.16,0.04,-0.04
-1.50048e+00,2.24,2.4,0.12,0.2
-1.50045e+00,2.32,2.24,0.04,-0.04
-1.50042e+00,2.32,2.4,0.04,0.2
-1.50038e+00,2.32,1.92,0.04,-0.28
-1.50035e+00,2.24,2.56,0.12,0.28
-1.50032e+00,2.24,2.24,0.12,-0.04
-1.50029e+00,2.32,2.4,0.12,0.2
-1.50026e+00,2.24,2.16,0.04,-0.04
-1.50022e+00,2.32,2.4,0.04,0.2
-1.50019e+00,2.32,1.84,0.04,-0.36
-1.50016e+00,2.32,2.56,0.04,0.28
-1.50013e+00,2.32,2.24,0.12,-0.04
-1.50010e+00,2.32,2.4,0.04,0.2
-1.50006e+00,2.24,2.16,0.12,-0.04
-1.50003e+00,2.32,2.4,0.12,0.2
-1.50000e+00,2.32,1.84,0.12,-0.36
-1.49997e+00,2.32,2.56,0.04,0.36
-1.49994e+00,2.32,2.24,0.04,-0.04
-1.49990e+00,2.32,2.4,0.04,0.2
-1.49987e+00,2.24,1.92,0.04,-0.28
-1.49984e+00,2.24,2.48,0.04,0.36
-1.49981e+00,2.24,2.16,0.12,-0.04
-1.49978e+00,2.24,2.4,0.04,0.2
-1.49974e+00,2.24,2.16,0.12,-0.04
-1.49971e+00,2.32,2.4,0.04,0.2
-1.49968e+00,2.32,1.92,0.04,-0.28
-1.49965e+00,2.32,2.48,0.12,0.28
-1.49962e+00,2.32,2.24,0.04,-0.04
-1.49958e+00,2.24,2.4,0.12,0.2
-1.49955e+00,2.24,2.16,0.04,-0.04
-1.49952e+00,2.32,2.4,0.12,0.2
-1.49949e+00,2.32,1.84,0.12,-0.2
-1.49946e+00,2.32,2.48,0.04,0.36
-1.49942e+00,2.32,2.24,0.04,-0.04
-1.49939e+00,2.32,2.4,0.12,0.2
-1.49936e+00,2.24,2.24,0.04,-0.04
-1.49933e+00,2.24,2.48,0.04,0.2
-1.49930e+00,2.24,1.84,0.04,-0.36
-1.49926e+00,2.32,2.56,0.04,0.36
-1.49923e+00,2.32,2.16,0.04,-0.04
-1.49920e+00,2.32,2.4,0.12,0.2
-1.49917e+00,2.24,1.84,0.04,-0.36
-1.49914e+00,2.32,2.56,0.04,0.36
-1.49910e+00,2.32,2.24,0.12,-0.04
-1.49907e+00,2.24,2.4,0.12,0.2
-1.49904e+00,2.24,2.16,0.12,-0.04
-1.49901e+00,2.32,2.4,0.04,0.2
-1.49898e+00,2.32,1.84,0.12,-0.2
-1.49894e+00,2.32,2.48,0.12,0.28
-1.49891e+00,2.32,2.24,0.04,-0.04
-1.49888e+00,2.24,2.4,0.04,0.2
-1.49885e+00,2.32,2.24,0.04,-0.04
-1.49882e+00,2.24,2.4,0.12,0.2
-1.49878e+00,2.24,1.84,0.04,-0.28
-1.49875e+00,2.24,2.48,0.12,0.28
-1.49872e+00,2.32,2.16,0.12,-0.04
-1.49869e+00,2.32,2.4,0.12,0.2
-1.49866e+00,2.24,2.16,0.04,-0.04
-1.49862e+00,2.32,2.4,0.12,0.2
-1.49859e+00,2.24,1.92,0.04,-0.28
-1.49856e+00,2.24,2.56,0.04,0.28
-1.49853e+00,2.32,2.16,0.12,-0.04
-1.49850e+00,2.24,2.4,0.12,0.2
-1.49846e+00,2.24,1.84,0.04,-0.36
-1.49843e+00,2.32,2.56,0.04,0.36
-1.49840e+00,2.32,2.16,0.04,-0.04
-1.49837e+00,2.32,2.4,0.04,0.2
-1.49834e+00,2.24,2.24,0.12,-0.04
-1.49830e+00,2.24,2.4,0.04,0.2
-1.49827e+00,2.24,1.84,0.12,-0.36
-1.49824e+00,2.24,2.56,0.04,0.36
-1.49821e+00,2.24,2.16,0.04,-0.04
-1.49818e+00,2.32,2.4,0.04,0.2
-1.49814e+00,2.24,2.16,0.04,-0.04
-1.49811e+00,2.32,2.4,0.04,0.2
-1.49808e+00,2.32,1.92,0.04,-0.28
-1.49805e+00,2.24,2.56,0.12,0.28
-1.49802e+00,2.24,2.16,0.12,-0.04
-1.49798e+00,2.24,2.4,0.12,0.2
-1.49795e+00,2.24,2.16,0.04,0.04
-1.49792e+00,2.32,2.4,0.04,0.2
-1.49789e+00,2.24,1.84,0.12,-0.28
-1.49786e+00,2.24,2.48,0.12,0.28
-1.49782e+00,2.24,2.24,0.04,-0.04
-1.49779e+00,2.24,2.4,0.12,0.2
-1.49776e+00,2.24,2.16,0.04,-0.04
-1.49773e+00,2.24,2.4,0.12,0.2
-1.49770e+00,2.24,1.84,0.12,-0.2
-1.49766e+00,2.32,2.48,0.12,0.36
-1.49763e+00,2.24,2.16,0.04,-0.04
-1.49760e+00,2.32,2.4,0.04,0.2
-1.49757e+00,2.32,1.84,0.12,-0.36
-1.49754e+00,2.24,2.56,0.04,0.36
-1.49750e+00,2.24,2.16,0.12,-0.04
-1.49747e+00,2.24,2.4,0.04,0.2
-1.49744e+00,2.24,2.16,0.04,-0.04
-1.49741e+00,2.24,2.4,0.04,0.28
-1.49738e+00,2.32,1.84,0.12,-0.36
-1.49734e+00,2.32,2.56,0.12,0.36
-1.49731e+00,2.24,2.24,0.12,-0.04
-1.49728e+00,2.24,2.4,0.12,0.2
-1.49725e+00,2.24,2.16,0.12,0.04
-1.49722e+00,2.24,2.4,0.12,0.2
-1.49718e+00,2.32,1.84,0.04,-0.28
-1.49715e+00,2.32,2.48,0.12,0.28
-1.49712e+00,2.32,2.16,0.04,-0.04
-1.49709e+00,2.24,2.4,0.04,0.2
-1.49706e+00,2.24,2.24,0.04,-0.04
-1.49702e+00,2.24,2.4,0.12,0.2
-1.49699e+00,2.24,1.84,0.12,-0.28
-1.49696e+00,2.24,2.48,0.12,0.36
-1.49693e+00,2.32,2.16,0.04,-0.04
-1.49690e+00,2.32,2.4,0.04,0.2
-1.49686e+00,2.32,1.84,0.04,-0.28
-1.49683e+00,2.24,2.56,0.04,0.28
-1.49680e+00,2.24,2.24,0.12,-0.04
-1.49677e+00,2.24,2.4,0.12,0.2
-1.49674e+00,2.24,2.16,0.12,-0.04
-1.49670e+00,2.24,2.4,0.04,0.2
-1.49667e+00,2.32,1.84,0.04,-0.36
-1.49664e+00,2.32,2.48,0.12,0.36
-1.49661e+00,2.24,2.16,0.04,0.04
-1.49658e+00,2.32,2.4,0.04,0.2
-1.49654e+00,2.24,2.24,0.12,-0.04
-1.49651e+00,2.24,2.4,0.12,0.2
-1.49648e+00,2.24,1.84,0.12,-0.36
-1.49645e+00,2.24,2.56,0.04,0.36
-1.49642e+00,2.24,2.16,0.04,-0.04
-1.49638e+00,2.32,2.4,0.04,0.2
-1.49635e+00,2.32,2.16,0.12,-0.04
-1.49632e+00,2.32,2.4,0.04,0.2
-1.49629e+00,2.24,1.92,0.04,-0.28
-1.49626e+00,2.24,2.56,0.12,0.28
